Id,country,total_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million,deaths_per_million,total_tests,tests_per_million,population,continent,year
1,USA,101213638,1109394,0,98461586,1642658,3746,302306,3314,1144042147,3417037,334805269,North America,2022
2,India,44675509,530653,0,44139558,5298,698,31761,377,907809042,645378,1406631776,Asia,2022
3,France,38331430,159517,0,37128030,1043883,869,584459,2432,271490188,4139547,65584518,Europe,2022
4,Germany,36726061,158851,0,36042800,524410,1406,437822,1894,122332384,1458359,83883596,Europe,2022
5,Brazil,35563044,690739,0,34354889,517416,8318,165138,3207,63776166,296146,215353593,South America,2022
6,S. Korea,27611555,30975,67,26550948,1029632,442,537923,603,15804065,307892,51329899,Asia,2022
7,Japan,25814888,51290,228,20806969,4956629,378,205557,408,82540464,657249,125584838,Asia,2022
8,Italy,24488080,181733,0,23799178,507169,320,406355,3016,258382332,4287595,60262770,Europe,2022
9,UK,24024746,197253,0,23768029,59464,146,350737,2880,522526476,7628357,68497907,Europe,2022
10,Russia,21650659,392506,52,21049420,208733,2300,148490,2692,273400000,1875095,145805947,Europe,2022
11,Turkey,17005537,101400,0,198751,0,1185,162743369,1902052,0,0,85561976,Asia,2022
12,Spain,13614807,116108,0,13403322,95377,339,291418,2485,471036328,10082298,46719142,Europe,2022
13,Vietnam,11520037,43178,0,10609473,867386,51,116419,436,85826548,867342,98953541,Asia,2022
14,Australia,10853888,16441,34,10546102,291345,100,416356,631,78835048,3024116,26068792,Australia/Oceania,2022
15,Argentina,9739856,130034,0,9591684,18138,241,211689,2826,35716069,776264,46010234,South America,2022
16,Netherlands,8547416,22926,0,8502452,22038,43,496612,1332,25984435,1509718,17211447,Europe,2022
17,Taiwan,8441828,14617,32,8132187,295024,353383,612,28724609,1202440,0,23888595,Asia,2022
18,Iran,7560048,144651,0,7335415,79982,71,87884,1682,54420785,632632,86022837,Asia,2022
19,Mexico,7156730,330667,34,6412560,413503,4798,54398,2513,18849619,143275,131562772,North America,2022
20,Indonesia,6695010,160175,36,6491519,43316,2771,23985,574,113009498,404857,279134505,Asia,2022
21,Poland,6356979,118371,6,5335940,902668,1530,168442,3137,37845232,1002794,37739785,Europe,2022
22,Colombia,6323357,141943,0,6145467,35947,342,122753,2755,36951507,717327,51512762,South America,2022
23,Austria,5600568,21257,0,5529406,49905,47,617707,2345,203156436,22406853,9066710,Europe,2022
24,Portugal,5549479,25584,0,5504951,18944,61,547255,2523,45641725,4500903,10140570,Europe,2022
25,Greece,5404690,34309,0,5364069,6312,115,523881,3326,100284496,9720658,10316637,Europe,2022
26,Ukraine,5346094,110640,0,5220827,14627,123775,2562,32603805,754855,0,43192122,Europe,2022
27,Malaysia,5006855,36742,0,4948640,21473,81,150895,1107,66674611,2009417,33181072,Asia,2022
28,Chile,4949655,62659,0,4877836,9160,127,257122,3255,47246252,2454326,19250195,South America,2022
29,DPRK,4772813,74,0,4772739,0,183636,3,0,0,0,25990679,Asia,2022
30,Israel,4734801,11905,0,4709234,13662,54,507699,1277,41373364,4436346,9326000,Asia,2022
31,Thailand,4711528,33285,0,4649509,28734,1496,67232,475,17270775,246450,70078203,Asia,2022
